rayOrigin.x,rayOrigin.y,rayOrigin.z,dir.x,dir.y,dirr.z,finalPos.x,finalPos.y,finalPos.z
0.01288974,119.9991,-0.02810907,0.1137697,-0.1361902,0.9841284,20.76715,95.15486,179.5
0.01286282,119.9991,-0.02807222,0.1141727,-0.1363003,0.9840665,20.84194,95.1332,179.5
0.01227112,119.9991,-0.02805374,0.1144817,-0.1361502,0.9840513,20.89805,95.16021,179.5
0.01185851,119.9991,-0.02803783,0.1148296,-0.1364622,0.9839676,20.96288,95.10118,179.5
0.01179004,119.9991,-0.02802278,0.1154228,-0.1367542,0.9838576,21.0734,95.0451,179.5
0.01178365,119.9991,-0.02801386,0.1159462,-0.1369964,0.9837624,21.17095,94.9985,179.5
0.01081519,119.9992,-0.02795963,0.1164929,-0.137602,0.9836133,21.27296,94.88419,179.5
0.008160569,119.9992,-0.02788095,0.1166191,-0.1377881,0.9835722,21.29423,94.84921,179.5
0.007339005,119.9992,-0.02785545,0.1165332,-0.1378812,0.9835694,21.27778,94.83217,179.5
0.007420914,119.9992,-0.02785648,0.1163637,-0.1377985,0.9836011,21.24623,94.84807,179.5
0.009700562,119.9992,-0.02792145,0.1169843,-0.137854,0.9835197,21.36357,94.83582,179.5
0.01158107,119.9991,-0.02797601,0.1177432,-0.1376519,0.9834574,21.50534,94.87111,179.5
0.01328223,119.9991,-0.02801936,0.1187928,-0.1375781,0.9833415,21.70121,94.88158,179.5
0.01487352,119.9991,-0.02808144,0.120125,-0.1360016,0.983399,21.94474,95.17085,179.5
0.01479031,119.9991,-0.02807919,0.1208047,-0.1352818,0.983415,22.06838,95.30265,179.5
0.01446752,119.9991,-0.02807408,0.1212081,-0.1347071,0.9834443,22.14104,95.40829,179.5
0.01293886,119.9991,-0.02803859,0.1212208,-0.1341307,0.9835215,22.1401,95.51547,179.5
0.01254253,119.9991,-0.02802518,0.1209721,-0.1336136,0.9836225,22.09203,95.61236,179.5
0.01216782,119.9992,-0.02801293,0.1205106,-0.1336217,0.983678,22.00617,95.61229,179.5
0.01182044,119.9992,-0.02801289,0.1197588,-0.1337734,0.9837492,21.86705,95.58636,179.5
0.01411502,119.9991,-0.02807803,0.1197493,-0.1338293,0.9837428,21.86776,95.57597,179.5
0.0147126,119.9991,-0.02809798,0.1197591,-0.1333529,0.9838063,21.86874,95.66447,179.5
0.01623708,119.9991,-0.02814653,0.1201111,-0.1330273,0.9838074,21.93448,95.72389,179.5
0.01741951,119.9991,-0.02818448,0.1209011,-0.1327852,0.9837434,22.08126,95.76649,179.5
0.01697443,119.9991,-0.02817531,0.1211786,-0.1323289,0.9837707,22.13083,95.85044,179.5
0.01659963,119.9991,-0.02816615,0.1215259,-0.1318251,0.9837955,22.19329,95.94299,179.5
0.01437593,119.9992,-0.02809659,0.1210473,-0.1310129,0.983963,22.09995,96.09531,179.5
0.01369356,119.9992,-0.02808533,0.1205228,-0.1308113,0.9840542,22.00154,96.13434,179.5
0.01253093,119.9992,-0.02805852,0.1199159,-0.1306195,0.9841538,21.88744,96.17175,179.5
0.01049858,119.9992,-0.02800934,0.1190654,-0.1303795,0.9842889,21.72726,96.21883,179.5
0.01038113,119.9992,-0.02800908,0.1185863,-0.1301524,0.9843768,21.63784,96.26239,179.5
0.01023406,119.9992,-0.0280102,0.1184314,-0.1302031,0.9843888,21.60917,96.25343,179.5
0.01010748,119.9992,-0.02802329,0.1182775,-0.1301233,0.9844178,21.58035,96.26868,179.5
0.01055954,119.9992,-0.02805371,0.1182402,-0.1298423,0.9844594,21.57308,96.32093,179.5
0.02039336,119.9991,-0.02825887,0.1189193,-0.1289114,0.9844999,21.7059,96.49153,179.5
0.03102284,119.9991,-0.02860312,0.1091862,-0.1235517,0.986313,19.90509,97.51024,179.5
-0.0265342,120,-0.02710674,0.08482891,-0.1168525,0.9895199,15.36385,98.79966,179.5
0.005267517,119.9997,-0.02767674,0.05336886,-0.08765778,0.99472,9.637312,104.1792,179.5
0.03644452,119.9995,-0.02923337,0.0276758,-0.04993977,0.9983687,5.013178,111.0192,179.5
0.03644093,119.9995,-0.02919185,0.01643434,-0.03562665,0.99923,2.989158,113.5985,179.5
0.03646378,119.9994,-0.02910997,0.01266436,-0.02876339,0.999506,2.311209,114.833,179.5
0.03646548,119.9995,-0.02916095,0.009202186,-0.02018358,0.999754,1.688933,116.375,179.5
0.02624239,119.9995,-0.02846245,0.007338221,-0.01540467,0.9998544,1.343854,117.2335,179.5
-0.0117719,119.9996,-0.0259446,0.004430836,-0.01317808,0.9999033,0.783755,117.6335,179.5
0.009371324,119.9995,-0.02729791,0.002995781,-0.01276532,0.9999141,0.547242,117.7076,179.5
