rayOrigin.x,rayOrigin.y,rayOrigin.z,dir.x,dir.y,dirr.z,finalPos.x,finalPos.y,finalPos.z
0.003993973,0.002574127,-0.03182825,0.2147084,0.0002899196,0.9766781,39.47144,0.05586243,179.5
0.03189638,0.002091843,-0.03221983,0.1669781,-0.03738429,0.9852516,0.04125297,-5.082197E-22,0.02288818
0.001289246,0.002729874,-0.031978,0.1422444,0.007125956,0.9898059,25.80173,1.295242,179.5
-0.007920532,0.002948639,-0.03217094,0.1642478,0.007965193,0.986387,29.8868,1.45269,179.5
0.001640259,0.002723129,-0.03196895,0.1456642,0.008377005,0.9892986,26.4359,1.522934,179.5
0.005613175,0.002631226,-0.03188732,0.1409738,0.008520395,0.9899766,25.57115,1.547806,179.5
0.009945343,0.002527405,-0.03179859,0.1360746,0.007146735,0.9906728,24.66967,1.297668,179.5
0.009844696,120.0025,-0.03180213,0.1337204,0.006598246,0.9909971,24.235,121.1979,179.5
0.01010452,120.0025,-0.03179671,0.1319534,0.006250039,0.9912362,23.90938,121.1345,179.5
0.01014458,120.0025,-0.0317963,0.1311397,0.00611034,0.991345,23.75943,121.1091,179.5
0.01028557,120.0025,-0.03179593,0.1307144,0.005558229,0.9914045,23.68114,121.0091,179.5
0.01028513,120.0025,-0.03179209,0.1307121,0.005197329,0.9914067,23.68067,120.9437,179.5
0.01001015,120.0025,-0.03179543,0.1311107,0.005968369,0.9913498,23.75394,121.0834,179.5
0.009801697,120.0025,-0.03179952,0.1314047,0.006250088,0.9913091,23.80795,121.1345,179.5
0.009694077,120.0025,-0.03180214,0.1316753,0.006555736,0.9912712,23.85777,121.1899,179.5
0.00957721,120.0025,-0.03179697,0.1318366,0.006650907,0.9912491,23.88739,121.2071,179.5
0.009216355,120.0026,-0.03180528,0.1314936,0.006708779,0.9912943,23.82382,121.2176,179.5
0.008920944,120.0026,-0.03180332,0.1315372,0.006655081,0.9912889,23.83155,121.2079,179.5
0.008828873,120.0026,-0.03180211,0.1315781,0.006650257,0.9912835,23.839,121.207,179.5
0.008795929,120.0026,-0.0318029,0.1315829,0.006719558,0.9912824,23.83985,121.2195,179.5
0.008621323,120.0026,-0.03180667,0.1322459,0.006636469,0.9911947,23.96188,121.2046,179.5
0.008737961,120.0026,-0.03180409,0.1324984,0.007125061,0.9911576,24.00863,121.2932,179.5
0.009074296,120.0026,-0.03180002,0.1325278,0.007622838,0.99115,24.01447,121.3833,179.5
0.009297913,120.0026,-0.03179619,0.1327999,0.007780563,0.9911124,24.06491,121.4119,179.5
0.009452164,120.0026,-0.03179291,0.1328655,0.007786134,0.9911035,24.07715,121.413,179.5
0.009228333,120.0026,-0.0318069,0.1330151,0.00754698,0.9910853,24.10447,121.3697,179.5
0.008650498,120.0026,-0.03182234,0.1335789,0.007802081,0.9910075,24.20792,121.416,179.5
0.00839235,120.0026,-0.03183052,0.1342681,0.008081147,0.9909121,24.33488,121.4667,179.5
0.008297089,120.0026,-0.0318336,0.1348934,0.007934504,0.9908283,24.45014,121.4403,179.5
0.008327866,120.0026,-0.03184537,0.135349,0.007869959,0.9907668,24.53424,121.4287,179.5
0.008318375,120.0026,-0.03184714,0.1356749,0.007856114,0.9907222,24.59439,121.4262,179.5
